course_number,course_title,professor,credits,class_cap,primary_schedule_day,primary_schedule_start_time,primary_schedule_end_time,primary_schedule_location,secondary_schedule_day,secondary_schedule_start_time,secondary_schedule_end_time,secondary_schedule_location,distributional_area,crosslists,additional_schedule,description,crn_number,program,source
DAN 215B MS,"Intermediate/Advanced Ballet","Maria Simpson",1,20,Tue Thurs, 10:10, 11:30, "",,,,,"PA","","","",92260,,
DAN 215M YG,"Intermediate/Advanced Modern Dance","Yebel Gallegos",1,25,Mon Wed, 15:10, 16:30, "",,,,,"PA","","","",92257,,
DAN 217 TL,"Dance Composition II","Tara Lorenzen",3,15,Mon Wed, 11:50, 13:10, "",,,,,"PA","","","",92255,,
DAN 241 MS,"Writing the Body","Maria Simpson",4,15,Tue Thurs, 11:50, 13:10, "",,,,,"AA","","","",92264,,
DAN 315 VA,"Dance Repertory",". TBA",3,12,Tue Thurs, 15:10, 16:30, "",,,,,"PA","","","",92262,,
DAN 319 YG,"Identity Maintenance: Dancing in the Inbetween","Yebel Gallegos",4,20,Tue Thurs, 13:30, 14:50, "",,,,,"PA, D+J","","","",92261,,
DAN WKSHP ,"Dance Workshop","Yebel Gallegos",1,20,Tue, 18:15, 20:00, "",,,,,"PA","","","",92265,,
FILM 106 ,"Intro to Documentary","Joshua Glick",4,18,Mon Wed, 10:10, 11:30, "",Sun, 19:00, 21:00, "","AA","","","",92411,,
FILM 109 ,"Aesthetics of Film","Richard Suchenski",4,24,Mon Wed, 11:50, 13:10, "",Tue, 19:00, 23:00, "","AA","","","",92423,,
FILM 111 A,"Introduction to Video","Carl Elsaesser",4,12,Tue, 10:10, 13:10, "",,,,,"PA","","","",92414,,
FILM 111 B,"Introduction to Video","Jacqueline Goss",4,12,Wed, 10:10, 13:10, "",,,,,"PA","","","",92415,,
FILM 111 LBA,"Introduction to Video Lab","Marc Schreibman",0,12,Fri, 10:10, 11:30, "",,,,,"PA","","","",92416,,
FILM 111 LBB,"Introduction to Video Lab","Marc Schreibman",0,12,Fri, 13:30, 14:50, "",,,,,"PA","","","",92417,,
FILM 115 ,"Cinema from 19th C to WWII","Masha Shpolberg",4,24,Thurs, 13:30, 16:30, "",Wed, 19:00, 23:00, "","AA","","","",92412,,
FILM 208 ," Introduction to 16mm Film","Carl Elsaesser",4,12,Wed, 15:30, 18:30, "",,,,,"PA","","","",92483,,
FILM 223 ,"Graphic Film Workshop","Brent Green",4,12,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92420,,
FILM 225 ,"3D Animation","Ben Coonley",4,12,Mon, 13:30, 16:30, "",,,,,"PA","","","",92419,,
FILM 236 ,"Cinematic Romanticism","Richard Suchenski",4,15,Tue, 13:30, 16:30, "",Mon, 19:00, 23:00, "","AA","","","",92424,,
FILM 255 ,"Experimental Cinema 1970-2000","Ed Halter",4,15,Fri, 10:10, 13:10, "",Thurs, 19:00, 23:00, "","AA","","","",92422,,
FILM 278 ,"Documentary Film Workshop","Fiona Otway",4,12,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92484,,
FILM 331 ,"In the Archive","Ed Halter",4,15,Thurs, 13:30, 16:30, "",,,,,"AA","","","",92421,,
FILM 372 ,"A World of Laughter: Comedy in cinema across time and culture","Ian Buruma",4,15,Tue, 10:10, 13:10, "",Mon, 17:00, 21:00, "","AA","","","",92427,,
FILM 405 ,"Senior Seminar","Jacqueline Goss",0,35,Tue, 17:00, 19:00, "",,,,,"","","","",92425,,
LIT 2144 ,"Modern Korean Literature in Global Context",". TBA",4,15,Tue Thurs, 15:30, 16:50, "",,,,,"LA","","","",92443,,
LIT 2166 ,"Divisions, Partitions, and Frontiers: Literatures from Asian Borderlands",". TBA",4,15,Tue Thurs, 13:30, 14:50, "",,,,,"LA","","","",92444,,
LIT 217 ,"Silk","Elizabeth Holt",4,22,Tue Thurs, 10:10, 11:30, "",,,,,"LA","","","",92490,,
MAT ED524 ,"Language, Literacy, Learning",". TBA",4,20,Mon, 17:10, 20:10, "",,,,,"","","","",92486,,
MAT ED525 HI,"History Teaching Lab",". TBA",4,15,Tue, 16:50, 19:50, "",,,,,"","","","",92487,,
MAT ED525 LI,"Literature Teaching Lab",". TBA",4,15,Thurs, 18:00, 21:00, "",,,,,"","","","",92488,,
MAT ED525 S,"STEM Teaching Lab II","Dumaine Williams",4,10,Tue, 16:30, 19:30, "",,,,,"","","","",92489,,
MUS 104 ,"Bard College Community Orchestra","Erica Kiesewetter/Kathryn Aldous/Zachary Schwartzman",2,20,Mon, 19:00, 21:30, "",,,,,"PA","","","",92281,,
MUS 105 ,"Bard College Symphonic Chorus","James Bagwell",1,35,Tue, 19:30, 22:00, "",,,,,"PA","","","",92266,,
MUS 108D ,"Ensemble: Chamber Singers","James Bagwell",2,25,Tue Thurs, 17:30, 19:00, "",,,,,"PA","","","",92267,,
MUS 108H I,"Ensemble: Balinese Gamelan","I Ketut Suadin",1,20,Mon, 17:00, 19:00, "",,,,,"PA","","","",92318,,
MUS 108H II,"Ensemble: Balinese Gamelan","I Ketut Suadin",1,20,Mon, 19:00, 21:00, "",,,,,"PA","","","",92319,,
MUS 108M ,"Ensemble for Any Instruments","Patricia Spencer",1,10,Tue, 19:30, 21:00, "",,,,,"PA","","","",92316,,
MUS 108N ,"Contemporary Jazz Composers Ensemble","Erica Lindsay",2,10,Mon, 17:30, 19:30, "",,,,,"PA","","","",92287,,
MUS 108P ,"Baroque Ensemble","Renee Louprette",2,25,Mon Wed, 15:30, 16:50, "",,,,,"PA","","","",92293,,
MUS 108Q ,"Mixed Trios, Quartets and Quintets","Patricia Spencer",1,8,,,,,,,,,"PA","","","",92315,,
MUS 108R ,"The Bard Georgian Choir","Carl Linich",2,30,Wed, 15:10, 17:30, "",,,,,"PA","","","",92290,,
MUS 108S I,"Afro Caribbean Percussion Ensemble","Roland Vazquez",1,15,Fri, 12:00, 13:15, "",,,,,"PA","","","",92326,,
MUS 108S II,"Afro Caribbean Percussion Ensemble","Roland Vazquez",1,15,Fri, 13:45, 15:00, "",,,,,"PA","","","",92327,,
MUS 108SC ,"Spontaneous Composition Ensemble","Angelica Sanchez",2,10,Tue, 17:10, 19:10, "",,,,,"PA","","","",92305,,
MUS 108V ,"Jazz Standards Ensemble I","Eric Person",2,12,Mon, 13:30, 15:30, "",,,,,"PA","","","",92302,,
MUS 142 ,"Introduction to Western Music","Peter Laki",4,20,Tue Thurs, 10:10, 11:30, "",,,,,"AA","","","",92285,,
MUS 149 ,"Against All Odds: Women Composers","Renee Louprette",4,20,Tue Thurs, 10:10, 11:30, "",,,,,"AA, D+J","","","",92294,,
MUS 169 ,"Listening to String Quartets","Marka Gustavsson",4,16,Mon Wed, 10:10, 11:30, "",,,,,"AA","","","",92279,,
MUS 201 ,"Music Theory / Ear Training","David Sytkowski/Renee Louprette",4,20,Mon Wed, 11:50, 13:10, "",Tue Thurs, 11:50, 13:10, "","PA","","","",92292,,
MUS 225 ,"Introduction to Conducting","James Bagwell",4,8,Tue Thurs, 11:50, 13:10, "",,,,,"","","","",92268,,
MUS 240 A,"Introduction to Electronic Music","Matthew Sargent",4,15,Mon Wed, 10:10, 11:30, "",,,,,"PA","","","",92307,,
MUS 240 B,"Introduction to Electronic Music","Matthew Sargent",4,15,Mon Wed, 11:50, 13:10, "",,,,,"PA","","","",92308,,
MUS 254A ,"Diction and Pronunciation for Singers: French, Italian, Spanish","Lucy Fitz Gibbon",4,12,Tue Thurs, 10:10, 11:30, "",,,,,"PA","","","",92275,,
MUS 278 ,"Music of the Black Atlantic","Roland Vazquez",4,16,Mon Wed, 13:30, 14:50, "",,,,,"AA","","","",92328,,
MUS 296 ,"Songwriting Fundamentals","Franz Nicolay",4,12,Tue Thurs, 10:10, 11:30, "",,,,,"PA","","","",92298,,
MUS 326 ,"History of Electronic Music","Sarah Hennies",4,15,Mon Wed, 13:30, 14:50, "",,,,,"AA","","","",92280,,
MUS 334 ,"Field Methods:Ethnomusicology","Whitney Slaten",4,10,Wed, 9:10, 11:30, "",,,,,"SA","","","",92311,,
MUS 367A ,"Jazz Composition I","Erica Lindsay",4,10,Wed, 17:40, 20:00, "",,,,,"PA","","","",92288,,
MUS 382 ,"The Recording Studio as a Compositional Tool","Matthew Sargent",4,10,Tue, 12:30, 14:50, "",,,,,"PA","","","",92309,,
MUS 384 ,"The String Quartets of Beethoven","Peter Laki",4,8,Tue, 15:10, 17:30, "",,,,,"AA","","","",92284,,
MUS WKSH GM,"Chamber Music Workshop","Blair McMillen/Marka Gustavsson/Raman Ramakrishnan",2,12,,,,,,,,,"PA","","","",92277,,
MUS WKSH EK," Advanced Orchestral Audition Preparation Workshop","Erica Kiesewetter",2,8,Fri, 16:00, 17:30, "",,,,,"PA","","","",92282,,
MUS WKSHA ,"Composition Workshop","George Tsontakis",2,12,Thurs, 12:30, 14:50, "",,,,,"PA","","","",92459,,
MUS WKSHB RM,"“This Woman’s Work”: Art Song by Women Composers","Rufus Muller",2,15,Mon, 12:30, 14:50, "",,,,,"PA","","","",92296,,
MUS WKSHD ,"Sight Reading Workshop","Michael DeMicco",2,14,Tue, 12:00, 13:00, "",,,,,"PA","","","",92271,,
MUS WKSHD CM,"Chamber Music Sight Reading Workshop","Patricia Spencer",2,10,Tue, 12:30, 14:30, "",,,,,"PA","","","",92313,,
MUS WKSHL ,"Opera Workshop","David Sytkowski/Rufus Muller/Teresa Buchholz",2,10,Wed, 15:40, 18:00, "",,,,,"PA","","","",92269,,
MUS WKSHN ,"Hands-on Music History","Patricia Spencer/Peter Laki",2,12,Tue, 17:00, 19:20, "",,,,,"PA","","","",92317,,
MUS WKSP3 ,"Jazz Improvisation Workshop","Erica Lindsay",2,10,Thurs, 15:00, 17:40, "",,,,,"PA","","","",92289,,
MUS WKSP7 ,"Jazz Vocal Workshop I","Pamela Pentony",2,15,Tue, 15:00, 18:00, "",,,,,"PA","","","",92300,,
MUS WKSPJ ,"Jazz Innovations","Marcus Roberts",2,10,Wed, 15:00, 17:00, "",,,,,"PA","","","",92303,,
MUS WKSPM ,"Musical Theater Performance Workshop","David Sytkowski",2,25,Thurs, 17:30, 20:30, "",,,,,"PA","","","",92320,,
MUS WKSPQ ,"Sun Ra Ensemble; Pictures of Infinity Workshop","Angelica Sanchez",2,12,Tue, 14:00, 16:00, "",,,,,"PA","","","",92306,,
MUS WKSPZ ,"Jazz Piano Workshop","Francesca Tanksley",2,15,Thurs, 13:20, 15:00, "",,,,,"PA","","","",92321,,
PHOT 101 A,"Introduction to Photography","Stephen Shore",4,12,Mon, 10:10, 13:10, "",,,,,"PA","","","",92329,,
PHOT 101 B,"Introduction to Photography","Gilles Peress",4,12,Tue, 15:00, 18:00, "",,,,,"PA","","","",92330,,
PHOT 101 C,"Introduction to Photography","An-My Le",4,12,Wed, 15:00, 18:00, "",,,,,"PA","","","",92331,,
PHOT 101 D,"Introduction to Photography","Jasmine Clarke",4,12,Fri, 10:10, 13:10, "",,,,,"PA","","","",92332,,
PHOT 114 ,"Photosensitivity: Practicing Mindful Photography","Tatjana Myoko von Prittwitz und Gaffron/Timothy Davis",4,12,Thurs, 13:30, 16:30, "",,,,,"PA","","","",92343,,
PHOT 201 A,"The View Camera","Lucas Blalock",4,8,Tue, 10:10, 13:10, "",,,,,"PA","","","",92334,,
PHOT 201 B,"The View Camera","Timothy Davis",4,8,Fri, 13:30, 16:30, "",,,,,"PA","","","",92335,,
PHOT 203 A,"Color Photography","Jasmine Clarke",4,8,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92336,,
PHOT 203 B,"Color Photography","Timothy Davis",4,8,Wed, 10:10, 13:10, "",,,,,"PA","","","",92338,,
PHOT 203P A,"Color Photography: Production and Practice","Laura Steele",2,8,Tue, 10:00, 11:30, "",,,,,"PA","","","",92337,,
PHOT 203P B,"Color Photography: Production and Practice","Laura Steele",2,8,Mon, 10:00, 11:30, "",,,,,"PA","","","",92339,,
PHOT 216 ,"Art and the Uses of Photography","Lucas Blalock",4,12,Wed, 10:10, 13:10, "",,,,,"PA","","","",92344,,
PHOT 230 ,"Bookmaking for Visual Artists","Tanya Marcuse",4,8,Tue, 13:30, 16:30, "",,,,,"PA","","","",92341,,
PHOT 301 ,"Advanced Photography",". TBA",4,8,Thurs, 18:15, 21:15, "",,,,,"PA","","","",92340,,
PHOT 311 ,"Queer Perspectives in Photography","Bryson Rand",4,8,Thurs, 13:30, 16:30, "",,,,,"PA","","","",92333,,
PHOT SEM ,"Senior Seminar","Tanya Marcuse",0,25,Mon, 13:30, 16:30, "",,,,,"AA","","","",92342,,
THTR 107 A,"Introduction to Playwriting: The Theatrical Voice","Beto O'Byrne",4,12,Tue, 13:30, 16:30, "",,,,,"PA","","","",92374,,
THTR 107 B,"Introduction to Playwriting: The Theatrical Voice","Daaimah Mubashshir",4,12,Thurs, 10:10, 13:10, "",,,,,"PA","","","",92375,,
THTR 110 A,"Introduction to Acting: The Actor and the Moment","Jack Ferver",4,16,Mon Wed, 10:10, 11:30, "",,,,,"PA","","","",92376,,
THTR 110 B,"Introduction to Acting: The Actor and the Moment","Jonathan Rosenberg",4,16,Tue Thurs, 10:10, 11:30, "",,,,,"PA","","","",92377,,
THTR 110 C,"Introduction to Acting: The Actor and the Moment","Bhavesh Patel",4,16,Wed Fri, 10:10, 11:30, "",,,,,"PA","","","",92378,,
THTR 144 ,"Outdoor Puppetry Intensive",". TBA",2,20,Mon, 10:10, 13:10, "",,,,,"PA","","","",92392,,
THTR 145 ,"Introduction to Contemporary Performance","Gideon Lester",4,25,Tue Thurs, 16:40, 18:00, "",,,,,"AA","","","",92383,,
THTR 204 ,"Introduction to World Theater Traditions","Miriam Felton-Dansky",4,16,Mon Wed, 11:50, 13:10, "",,,,,"AA","","","",92384,,
THTR 209 ,"Intermediate Acting: Creating a Character","Bhavesh Patel",4,16,Wed Fri, 11:50, 13:10, "",,,,,"PA","","","",92379,,
THTR 219 ,"Introduction to Directing","Ashley Tata",4,12,Mon, 13:30, 16:30, "",,,,,"PA","","","",92380,,
THTR 252 ,"Advanced Acting: Rehearsal and Performance Laboratory","Jonathan Rosenberg",4,12,Tue Thurs, 11:50, 13:10, "",,,,,"PA","","","",92382,,
THTR 265 ,"Seeking Provenance Through Playwriting","Daaimah Mubashshir",4,10,Wed, 10:10, 13:10, "",,,,,"PA, D+J","","","",92394,,
THTR 378 ,"Performance Composition","Jack Ferver",4,12,Tue, 13:30, 16:30, "",,,,,"PA","","","",92393,,
THTR 406 ,"Senior Project Colloquium","Lindsey J. Liberatore",0,20,Thurs, 13:30, 15:50, "",,,,,"","","","",92388,,
